CandidateID,CandidateName,Department,HireDate,HireSource,RoleHiredFor,TimeToHireDays
9364,Nicole Parrish,News & Content,2022-03-21,Career Site,Reporter,35
9365,Tracy Burke,News & Content,2020-07-14,Employee Referral,Photojournalist,32
9366,Kenneth Lewis,Engineering,2021-10-19,Employee Referral,Systems Engineer,36
9367,Courtney Rodriguez,News & Content,2018-11-23,Employee Referral,Editor,67
9368,Holly Farmer,Finance,2024-06-10,Employee Referral,Finance Manager,19
9369,Renee B. Bruce,Human Resources,2021-08-08,Career Site,HR Manager,52
9370,Sabrina Austin,News & Content,2021-01-23,LinkedIn,Producer,7
9371,Allison Hickman,Sales,2023-06-14,LinkedIn,Sales Manager,18
9372,Debra White,News & Content,2024-07-01,Employee Referral,News Director,36
9373,Ellen Morgan,Sales,2023-04-24,Recruiter Sourced,Sales Coordinator,32
9374,Sergio Knight,Engineering,2022-10-05,LinkedIn,Broadcast Engineer,40
9375,Charles Schultz,News & Content,2025-07-26,Career Site,Photojournalist,29
9376,Paul Lewis,Sales,2024-11-08,Employee Referral,Sales Manager,33
9377,Glen Wood,Engineering,2022-09-22,Career Site,IT Support,32
9378,Paula Bradley,Finance,2022-03-04,Employee Referral,Accountant,34
9379,Anthony Moore,Engineering,2025-03-05,Employee Referral,Systems Engineer,35
9380,Megan Nelson,News & Content,2018-11-24,Employee Referral,Reporter,32
9381,Karla Ramos,News & Content,2026-07-11,Career Site,Photojournalist,29
9382,Paul Wilson,News & Content,2022-09-16,Employee Referral,Photojournalist,31
9383,Douglas Gregory,Sales,2021-09-21,Career Site,Sales Coordinator,37
9384,Mr. Andrew Foster,Sales,2024-06-10,LinkedIn,Sales Coordinator,37
9385,Aimee Turner,News & Content,2023-01-08,Career Site,Photojournalist,25
9386,Chad Scott,News & Content,2022-09-09,Recruiter Sourced,Editor,21
9387,Adam Burgess,Sales,2023-08-09,Employee Referral,Account Executive,12
9388,James Padilla,News & Content,2018-12-15,Recruiter Sourced,Photojournalist,56
9389,Sandra Drake,News & Content,2020-11-20,Recruiter Sourced,Reporter,17
9390,Scott Williams,Human Resources,2021-09-29,LinkedIn,HR Manager,23
9391,Thomas Atkins,Finance,2020-12-29,Indeed,Accountant,43
9392,Laura Mckinney,News & Content,2025-03-07,LinkedIn,Photojournalist,15
9393,Brian Smith,Finance,2022-04-02,Indeed,Financial Analyst,11
9394,Robert Montgomery,Engineering,2021-12-09,University Recruiting,Broadcast Engineer,26
9395,Tamara Davis,Engineering,2023-06-19,Career Site,Broadcast Engineer,46
9396,Dana Chapman,News & Content,2018-12-30,Recruiter Sourced,Producer,33
9397,Jennifer Collins,News & Content,2022-09-11,LinkedIn,Editor,62
9398,Gary Jackson,News & Content,2019-09-12,Employee Referral,Editor,42
9399,Ashley Hicks,News & Content,2025-03-13,Employee Referral,Photojournalist,17
9400,Hannah Luna,News & Content,2022-03-04,LinkedIn,Editor,35
9401,Robin Young,Sales,2024-05-04,Employee Referral,Sales Manager,12
9402,Craig Morrison,News & Content,2019-06-19,Indeed,Reporter,41
9403,Mary T. Thompson,Sales,2024-10-15,Career Site,Sales Coordinator,27
9404,Kathleen W. Webster,Sales,2026-01-23,Employee Referral,Sales Manager,40
9405,Joann Glass,Engineering,2024-02-17,Employee Referral,Broadcast Engineer,55
9406,Madison Weber,Sales,2019-08-23,Career Site,Account Executive,54
9407,Lori Hernandez,News & Content,2021-11-13,Employee Referral,News Director,31
9408,Jeremy Turner,Engineering,2022-03-02,LinkedIn,Systems Engineer,44
9409,Anthony Romero,Finance,2019-12-28,Indeed,Financial Analyst,29
9410,Jesse Brown,News & Content,2023-04-13,Indeed,Photojournalist,36
9411,Angela Lin,Sales,2024-04-05,Employee Referral,Sales Manager,14
9412,Lisa Hunter,News & Content,2020-03-05,LinkedIn,Reporter,23
9413,Julian C. Conner,Human Resources,2022-03-13,Career Site,HR Generalist,41
9414,Joanna Pacheco,Finance,2020-07-23,LinkedIn,Finance Manager,11
9415,Erica Alvarez,News & Content,2024-02-04,Career Site,Editor,35
9416,Antonio Garcia,News & Content,2025-10-25,Employee Referral,News Director,36
9417,Gwendolyn Klein,News & Content,2024-12-06,Employee Referral,Reporter,41
9418,Carrie Wright,Sales,2024-04-22,Employee Referral,Sales Coordinator,14
9419,Jeffrey Mills,News & Content,2019-07-19,Indeed,Reporter,12
9420,Jake Campbell,Engineering,2019-06-22,Career Site,Broadcast Engineer,46
9421,George Harper,News & Content,2022-02-26,Employee Referral,Reporter,36
9422,Maria Jones,Sales,2021-06-18,Indeed,Account Executive,29
9423,Michael Mitchell,Sales,2022-10-01,Career Site,Account Executive,13
9424,Mary Escobar,News & Content,2021-08-19,Recruiter Sourced,Editor,28
9425,Felicia Aguilar,News & Content,2024-11-20,Recruiter Sourced,Photojournalist,19
9426,Gregory Ponce,Sales,2022-08-27,Indeed,Account Executive,46
9427,Jenna Larson,News & Content,2026-02-27,LinkedIn,Editor,16
9428,Emily Bennett,News & Content,2021-08-03,Indeed,News Director,31
9429,Robin Santiago,Human Resources,2021-08-09,Recruiter Sourced,HR Generalist,44
9430,Nancy Jennings,Sales,2024-09-14,Career Site,Account Executive,42
9431,Maria Henderson,Sales,2025-11-09,Career Site,Account Executive,28
9432,Jack White,Sales,2023-01-31,LinkedIn,Account Executive,42
9433,Travis Tucker,Human Resources,2023-11-02,Employee Referral,HR Manager,44
9434,Chad Jones,News & Content,2019-10-05,Employee Referral,Reporter,35
9435,Ashley Wise,Finance,2025-07-05,Career Site,Finance Manager,39
9436,Sophia Johnson,Human Resources,2019-12-28,University Recruiting,HR Generalist,31
9437,Ralph A. Anderson,News & Content,2024-04-03,University Recruiting,Producer,48
9438,Christopher Guerra,News & Content,2021-12-01,Recruiter Sourced,News Director,32
9439,Rhonda Martin,News & Content,2021-01-13,LinkedIn,Reporter,15
9440,Jason Rhodes,Engineering,2024-09-15,Employee Referral,IT Support,40
9441,Jeremy Mitchell,News & Content,2022-02-16,Employee Referral,Reporter,20
9442,Joann Ferguson,Sales,2023-07-28,Career Site,Sales Coordinator,50
9443,Robert Harrison,Engineering,2019-07-02,Employee Referral,Broadcast Engineer,39
9444,Holly Valentine,Sales,2019-08-12,Recruiter Sourced,Account Executive,8
9445,Mrs. Diane Reyes,Finance,2020-03-07,LinkedIn,Finance Manager,45
9446,Tracy Montoya,News & Content,2023-07-17,Indeed,Photojournalist,37
9447,Brenda Wright,Finance,2020-08-01,Employee Referral,Finance Manager,43
9448,Shelly Spencer,Sales,2022-03-25,Recruiter Sourced,Account Executive,34
9449,Ryan Rosales,Engineering,2025-05-27,University Recruiting,Systems Engineer,49
9450,Phillip N. Nelson,Finance,2022-11-28,LinkedIn,Accountant,25
9451,Brittany Kim,Human Resources,2018-08-09,LinkedIn,HR Generalist,45
9452,Courtney Hayes,News & Content,2025-08-15,University Recruiting,News Director,38
9453,Alexander Brown,Sales,2020-06-18,Career Site,Sales Manager,12
9454,Cynthia Vang,News & Content,2023-04-09,Career Site,Producer,11
9455,Alfred Galvan,News & Content,2022-05-14,Employee Referral,Editor,30
9456,Marie Moody,Human Resources,2021-11-03,LinkedIn,HR Manager,23
9457,Dustin Gallegos,Human Resources,2019-03-13,LinkedIn,HR Generalist,8
9458,Brenda Thornton,Sales,2023-05-12,Career Site,Sales Manager,18
9459,Aaron Miller,Sales,2020-07-08,Employee Referral,Account Executive,31
9460,Ruben Dunn,News & Content,2022-12-09,Recruiter Sourced,Editor,23
9461,Kelsey Rodriguez,Sales,2023-07-08,University Recruiting,Sales Coordinator,64
9462,Eric Williams,News & Content,2023-01-08,Employee Referral,Photojournalist,25
9463,Riley Bryant,Sales,2025-02-28,University Recruiting,Account Executive,49
9464,Taylor Carlson,Human Resources,2018-12-13,Indeed,HR Manager,55
9465,Jose Allen,News & Content,2019-09-30,Employee Referral,Producer,27
9466,Jeffrey Mendez,News & Content,2023-10-14,Employee Referral,Photojournalist,26
9467,Jason B. Beck,Human Resources,2018-11-08,Career Site,HR Generalist,27
9468,William Jones,News & Content,2025-05-22,University Recruiting,Reporter,31
9469,Katie Mcneil,Engineering,2023-11-23,Recruiter Sourced,Broadcast Engineer,29
9470,Jeanette Harrison,Sales,2025-04-06,Career Site,Sales Coordinator,18
9471,Veronica King,Sales,2020-12-12,Career Site,Sales Manager,38
9472,Richard Cooper,Sales,2025-12-03,Employee Referral,Sales Coordinator,29
9473,Lori Ingram,Sales,2018-12-14,Employee Referral,Account Executive,64
9474,Evelyn Williams,Human Resources,2021-11-23,Indeed,HR Generalist,46
9475,Robin Thompson,News & Content,2019-12-26,Employee Referral,Producer,29
9476,Julie Dominguez,Finance,2023-12-08,Employee Referral,Finance Manager,41
9477,Robin Brown,Engineering,2023-06-13,Recruiter Sourced,Broadcast Engineer,41
9478,Judith Carter,Sales,2024-02-03,Indeed,Sales Coordinator,48
9479,Curtis Williams,Sales,2023-04-27,Employee Referral,Sales Coordinator,11
9480,Kaylee Hays,News & Content,2024-11-09,Employee Referral,Producer,17
9481,Dawn Mullins,News & Content,2019-12-24,Career Site,Editor,23
9482,Howard Norman,News & Content,2022-03-15,Employee Referral,Reporter,33
9483,Evelyn Martinez,News & Content,2023-03-11,Career Site,Reporter,7
9484,Steve P. Paul,Engineering,2026-01-04,Indeed,Systems Engineer,22
9485,Jasmine Beltran,Sales,2019-04-22,Recruiter Sourced,Account Executive,51
9486,Jonathan Glass MD,Human Resources,2020-12-14,Indeed,HR Manager,19
9487,Monica Miller,News & Content,2021-07-04,Employee Referral,News Director,37
9488,Samantha Gardner,News & Content,2021-08-04,Career Site,Producer,37
9489,Bobby Guerrero,News & Content,2019-02-06,Recruiter Sourced,Editor,39
9490,Lance Simmons,Sales,2021-12-23,Recruiter Sourced,Sales Manager,43
9491,Heather Williams,Engineering,2022-12-18,Career Site,IT Support,47
9492,Heather Bolton,Engineering,2020-11-25,Career Site,Systems Engineer,53
9493,William Gould,News & Content,2019-08-21,Employee Referral,Photojournalist,29
9494,Mark Cox,Sales,2024-02-12,Career Site,Sales Manager,23
9495,Meghan Cisneros,Engineering,2020-10-02,Employee Referral,Broadcast Engineer,39
9496,Lawrence Harrington,Sales,2022-10-11,Indeed,Sales Manager,39
9497,Austin O. Osborne,Sales,2022-10-04,Employee Referral,Sales Manager,44
9498,James Bradley,News & Content,2024-02-16,University Recruiting,Producer,14
9499,Meghan Rush,Sales,2023-06-16,Indeed,Sales Coordinator,43
9500,Phillip Berry,Sales,2019-06-08,Indeed,Account Executive,16
9501,Jennifer Banks,News & Content,2024-05-25,Career Site,Producer,37
9502,Brian Fitzgerald,News & Content,2023-08-04,Indeed,News Director,28
9503,Mr. Justin Green III,Finance,2026-06-16,University Recruiting,Accountant,49
9504,Zachary Mitchell,News & Content,2022-06-06,University Recruiting,Photojournalist,15
9505,Katherine Martinez,News & Content,2024-01-26,Employee Referral,Producer,36
9506,Jodi Roach,Engineering,2026-01-11,Employee Referral,Broadcast Engineer,39
9507,Brandon Fleming,Finance,2026-06-13,LinkedIn,Financial Analyst,29
9508,Emma Reed,News & Content,2020-11-09,Indeed,Reporter,36
9509,Joshua Vance,Finance,2023-06-07,LinkedIn,Finance Manager,27
9510,Michelle Ho,Finance,2021-02-02,Recruiter Sourced,Finance Manager,35
9511,Rebecca H. Hicks,News & Content,2022-10-06,University Recruiting,Editor,38
9512,Curtis Taylor,News & Content,2026-07-09,Employee Referral,Photojournalist,27
9513,Allison Spencer,News & Content,2021-05-22,Employee Referral,News Director,32
9514,Robert Arnold,News & Content,2019-08-07,Career Site,News Director,7
9515,Angelica Parker,News & Content,2023-01-23,Career Site,News Director,11
9516,Dr. Kelly Hammond DVM,News & Content,2022-09-19,University Recruiting,Producer,28
9517,William Day,News & Content,2023-08-13,LinkedIn,News Director,18
9518,Michael Cooper,News & Content,2022-07-02,Recruiter Sourced,News Director,31
9519,Penny Bowman,News & Content,2019-12-31,Career Site,Producer,48
9520,Vincent Reynolds,News & Content,2023-06-08,LinkedIn,Editor,51
9521,Amy Martinez,Sales,2024-03-24,University Recruiting,Sales Manager,31
9522,Christopher Morris,Engineering,2026-05-24,University Recruiting,IT Support,19
9523,Hannah Everett,News & Content,2018-07-28,LinkedIn,Photojournalist,18
9524,Sarah K. King,Human Resources,2018-10-02,LinkedIn,HR Generalist,55
9525,Krista Martinez,News & Content,2023-07-25,University Recruiting,Reporter,45
9526,Joseph Shaw,Sales,2019-07-03,Employee Referral,Sales Manager,31
9527,Todd Moore,News & Content,2025-05-06,Employee Referral,Reporter,34
9528,Michelle Jacobs,Sales,2024-12-15,LinkedIn,Sales Manager,31
9529,Kristy Bryan,News & Content,2026-07-21,Recruiter Sourced,Reporter,40
9530,Angel May,Finance,2021-11-14,Employee Referral,Accountant,33
9531,Marilyn Wang,Sales,2021-03-25,Recruiter Sourced,Sales Coordinator,43
9532,Mark Jimenez,Sales,2023-01-16,Recruiter Sourced,Sales Coordinator,43
9533,Donna Frye,Engineering,2023-08-29,Career Site,Systems Engineer,21
9534,Dr. Michael Evans,Engineering,2018-08-26,Employee Referral,IT Support,38
9535,Anthony G. Gonzales,Sales,2020-03-02,University Recruiting,Sales Coordinator,50
9536,Mr. Lawrence Edwards,Finance,2020-10-23,LinkedIn,Financial Analyst,40
9537,Morgan Valencia,Sales,2024-11-17,Employee Referral,Account Executive,38
9538,Bianca Wood,Sales,2021-01-08,LinkedIn,Sales Coordinator,24
9539,Emma Owens,Sales,2022-08-12,Employee Referral,Account Executive,24
9540,David Davis,Finance,2021-02-24,Indeed,Accountant,33
9541,James Gilbert,Engineering,2018-08-10,Employee Referral,Broadcast Engineer,25
9542,Sean Moore,News & Content,2024-01-18,LinkedIn,Reporter,46
9543,Kenneth Edwards,Sales,2021-04-16,Employee Referral,Sales Manager,31
9544,Kathleen Robertson,Human Resources,2024-05-09,LinkedIn,HR Manager,25
9545,Mr. Alexander Landry MD,Finance,2023-06-27,Indeed,Finance Manager,47
9546,Cindy Gomez,Sales,2018-10-17,Recruiter Sourced,Sales Manager,19
9547,Johnny Khan,Sales,2019-12-19,Career Site,Sales Coordinator,33
9548,Julie Herrera,Finance,2021-03-15,Employee Referral,Finance Manager,26
9549,Jessica Khan,News & Content,2021-04-06,Employee Referral,Photojournalist,65
9550,Pamela Diaz,News & Content,2023-12-09,Career Site,News Director,33
9551,Kelly Lee,News & Content,2025-11-21,Indeed,News Director,22
9552,Angel Gordon,Sales,2024-12-08,LinkedIn,Account Executive,34
9553,Diana H. Hays,Sales,2023-09-22,Employee Referral,Sales Manager,31
9554,Barbara H. Hester,News & Content,2022-05-30,Employee Referral,Producer,24
9555,Robert Morgan,News & Content,2023-07-30,Indeed,Reporter,46
9556,Nicole Gonzalez,Sales,2025-09-11,Employee Referral,Sales Manager,42
9557,Kathryn Williams,Sales,2022-11-09,Employee Referral,Account Executive,37
9558,Gary Wells,Engineering,2021-03-29,Career Site,IT Support,23
9559,Larry Robertson,Sales,2024-10-30,Employee Referral,Account Executive,57
9560,Louis Martin,Finance,2021-11-14,Recruiter Sourced,Accountant,38
9561,Nancy Evans MD,Sales,2024-07-01,Career Site,Account Executive,26
9562,Kim Erickson,Sales,2025-03-29,Recruiter Sourced,Sales Manager,48
9563,Robert Richardson,Human Resources,2020-12-14,Employee Referral,HR Manager,35
9564,Veronica Silva,Sales,2024-05-11,Recruiter Sourced,Account Executive,46
9565,Molly Watts,Sales,2021-01-30,LinkedIn,Account Executive,39
9566,John Coffey,Finance,2022-11-05,Career Site,Finance Manager,62
9567,Paula Lane,Engineering,2020-03-23,Employee Referral,Broadcast Engineer,20
9568,Lauren Jackson,Human Resources,2024-01-17,Career Site,HR Manager,27
9569,Lisa Randall,Human Resources,2024-12-15,Career Site,HR Manager,72
9570,Michael Johnson,News & Content,2025-08-30,Career Site,Editor,32
9571,Ashley Smith,Finance,2021-05-22,Employee Referral,Financial Analyst,19
9572,Christian Vaughn,Sales,2026-04-26,Career Site,Account Executive,41
9573,Reginald Knapp,Finance,2020-10-20,Employee Referral,Accountant,48
9574,Nancy Brown,News & Content,2018-10-23,Career Site,Reporter,32
9575,Daniel Nguyen,Human Resources,2026-06-06,Career Site,HR Manager,9
9576,Kelly Edwards,Finance,2023-07-28,LinkedIn,Financial Analyst,22
9577,Thomas Peterson,News & Content,2025-04-19,University Recruiting,Reporter,13
9578,Raymond Le,Sales,2023-02-16,Career Site,Account Executive,60
9579,Melissa Bishop,News & Content,2021-09-04,LinkedIn,Reporter,12
9580,David Grant,News & Content,2023-04-28,Indeed,News Director,26
9581,Bill Evans,Sales,2025-06-23,Recruiter Sourced,Account Executive,40
9582,Daniel Bush,Sales,2024-07-28,Indeed,Account Executive,17
9583,Gregory Peck,Engineering,2024-03-14,Career Site,IT Support,39
9584,Denise Martinez,News & Content,2021-01-27,Recruiter Sourced,Reporter,25
9585,Jamie Baird,News & Content,2018-10-24,Employee Referral,News Director,38
9586,Tina Ballard,Engineering,2021-11-14,Indeed,Systems Engineer,30
9587,Dwayne Klein,Engineering,2022-07-15,Employee Referral,IT Support,31
9588,Jeremy Scott,Sales,2020-06-17,Indeed,Sales Coordinator,47
9589,Dale Ryan,Sales,2022-03-05,LinkedIn,Sales Coordinator,18
9590,Melissa Taylor,News & Content,2026-03-02,LinkedIn,Editor,38
9591,Laurie Sanchez,News & Content,2020-04-15,University Recruiting,News Director,44
9592,Kiara Little,Sales,2020-12-23,LinkedIn,Sales Manager,17
9593,Jason Love,News & Content,2019-06-16,Career Site,Photojournalist,13
9594,Randy Smith,Human Resources,2024-11-02,Employee Referral,HR Generalist,30
9595,Tanya Russell,Sales,2024-10-12,Employee Referral,Account Executive,7
9596,Sherry Woods,News & Content,2025-11-12,Recruiter Sourced,Producer,37
9597,Victor Morris,Human Resources,2022-02-09,LinkedIn,HR Manager,42
9598,Susan Davis,Sales,2018-10-04,Career Site,Account Executive,15
9599,Kimberly Sharp,News & Content,2022-06-03,Employee Referral,Reporter,45
9600,Susan Thompson,Engineering,2022-07-24,LinkedIn,Systems Engineer,49
9601,Casey Gillespie,Finance,2020-01-30,Recruiter Sourced,Finance Manager,38
9602,Jennifer Simpson DVM,News & Content,2025-12-12,Recruiter Sourced,Reporter,50
9603,Tammy Mcdowell,Sales,2024-06-02,Employee Referral,Account Executive,29
9604,Keith Rodriguez,News & Content,2022-10-01,Employee Referral,Photojournalist,26
9605,Mrs. Virginia Daniels,Finance,2024-10-06,Indeed,Finance Manager,32
9606,Todd Rosales MD,News & Content,2019-09-15,University Recruiting,Producer,20
9607,Brian Martin,News & Content,2025-07-14,LinkedIn,News Director,26
9608,David Lopez,News & Content,2025-02-19,Employee Referral,News Director,34
9609,Rachel Bradley,Sales,2026-01-23,University Recruiting,Account Executive,35
9610,Casey Chase,News & Content,2023-12-22,Recruiter Sourced,News Director,39
9611,Samantha Robertson,Engineering,2019-08-15,LinkedIn,IT Support,7
9612,Michael Lopez,News & Content,2024-05-10,Career Site,Reporter,72
9613,Franklin Wright,News & Content,2022-03-27,Employee Referral,Producer,21
9614,David Molina,Engineering,2024-04-08,Career Site,Systems Engineer,42
9615,Elizabeth Sharp,Sales,2022-09-27,University Recruiting,Sales Coordinator,37
9616,Matthew Schwartz,News & Content,2018-08-05,LinkedIn,Reporter,25
9617,Bryan Parker,Engineering,2026-01-07,Recruiter Sourced,IT Support,41
9618,Jonathan Jacobson,Sales,2024-01-21,Recruiter Sourced,Sales Manager,22
9619,Emily Wilson,News & Content,2023-04-25,University Recruiting,Photojournalist,33
9620,Elizabeth Mendez,Sales,2019-04-04,Indeed,Sales Coordinator,60
9621,Casey Hernandez,News & Content,2022-04-18,Recruiter Sourced,Producer,28
9622,Lisa Perry,News & Content,2018-12-05,University Recruiting,Reporter,34
9623,Kaitlin Medina,Sales,2022-09-22,Career Site,Sales Manager,20
9624,Colleen Wright,News & Content,2023-10-31,Career Site,Reporter,42
9625,Shelley Miller,Engineering,2021-01-22,LinkedIn,Systems Engineer,23
9626,Mike Miller,News & Content,2023-03-07,Career Site,Producer,37
9627,Amy K. Kelley,News & Content,2021-01-21,University Recruiting,Producer,47
9628,Laura Hernandez,Finance,2025-09-11,Career Site,Financial Analyst,30
9629,Joseph Wilson,Sales,2021-02-15,Indeed,Sales Coordinator,41
9630,Kevin Davis,News & Content,2020-02-06,LinkedIn,Reporter,38
9631,Rhonda Chavez,News & Content,2020-10-09,LinkedIn,News Director,47
9632,Joyce Brown,Engineering,2021-02-10,Career Site,IT Support,41
9633,Robert Cummings,News & Content,2022-02-01,Recruiter Sourced,News Director,50
9634,Robert Reese,Sales,2019-07-02,Employee Referral,Sales Coordinator,30
9635,Amber C. Cooper,Sales,2019-10-03,Indeed,Sales Manager,17
9636,Zachary Michael,Engineering,2020-09-30,Career Site,IT Support,12
9637,Timothy Johnson,News & Content,2018-09-06,LinkedIn,News Director,13
9638,Randy Cannon,Human Resources,2023-07-18,LinkedIn,HR Generalist,30
9639,Maria Fisher,News & Content,2022-09-03,Employee Referral,Editor,36
9640,Janet Kane DVM,Engineering,2020-03-18,Career Site,Systems Engineer,24
9641,Mike Stanley,News & Content,2021-05-12,Indeed,Editor,7
9642,Martha Bailey,Sales,2021-02-08,Recruiter Sourced,Sales Coordinator,25
9643,Joshua Rice,Finance,2019-09-10,Indeed,Finance Manager,28
9644,Courtney Smith,Sales,2024-03-12,LinkedIn,Sales Coordinator,33
9645,Edwin Nunez,News & Content,2020-10-28,LinkedIn,Photojournalist,52
9646,Kim Morrow,News & Content,2020-07-08,Indeed,Producer,10
9647,Gregory Hill,Human Resources,2019-02-17,Indeed,HR Generalist,42
9648,Molly R. Rodriguez,Sales,2023-06-19,Career Site,Sales Manager,41
9649,Jennifer Miranda,News & Content,2021-04-08,University Recruiting,News Director,30
9650,Alexis Harris,Engineering,2022-02-09,University Recruiting,IT Support,39
9651,Andrew Harper,News & Content,2019-08-08,Employee Referral,Photojournalist,31
9652,Amber Yang,Sales,2022-04-29,Employee Referral,Sales Manager,41
9653,David Robinson,News & Content,2023-12-18,LinkedIn,News Director,22
9654,Amy Gordon,Sales,2019-05-29,LinkedIn,Account Executive,21
9655,Robert Dennis,Finance,2018-12-28,Recruiter Sourced,Finance Manager,9
9656,Kyle Chambers,Finance,2021-12-21,Indeed,Financial Analyst,39
9657,Eric Thomas,Sales,2019-12-28,Career Site,Account Executive,26
9658,Connie Turner,News & Content,2023-04-30,Employee Referral,Editor,13
9659,Travis Hobbs,Sales,2023-04-21,Employee Referral,Sales Coordinator,21
9660,Lori Simmons,News & Content,2025-04-01,Indeed,Editor,41
9661,William David DDS,Engineering,2024-02-26,Career Site,Systems Engineer,36
9662,Emma Butler,News & Content,2023-06-28,Employee Referral,News Director,21
9663,James Webster,Sales,2021-01-21,University Recruiting,Sales Coordinator,52
9664,Samuel Turner,Engineering,2025-02-05,Indeed,Systems Engineer,33
9665,Renee Melendez,Engineering,2024-04-06,Employee Referral,Broadcast Engineer,40
9666,Tracy Grant,Human Resources,2023-12-05,Indeed,HR Manager,35
9667,David Harris,News & Content,2022-10-29,Recruiter Sourced,Photojournalist,30
9668,Tammy Boone,News & Content,2026-05-08,Employee Referral,News Director,39
9669,Nathaniel Lee,News & Content,2024-08-09,Indeed,Producer,48
9670,Michael Morrison,News & Content,2022-04-14,Recruiter Sourced,Editor,30
9671,Chelsea Gill,News & Content,2019-08-13,LinkedIn,Reporter,43
9672,Kristin Mendoza,News & Content,2025-01-23,LinkedIn,News Director,24
9673,Felicia Krueger,News & Content,2025-12-01,Recruiter Sourced,Photojournalist,57
9674,Timothy Hayden,Sales,2022-04-22,Employee Referral,Account Executive,23
9675,Zachary Mendoza,Human Resources,2022-03-16,Indeed,HR Manager,62
9676,Larry Harris,Human Resources,2024-01-14,Employee Referral,HR Generalist,17
9677,Kristen R. Rowe,News & Content,2024-03-29,Career Site,Producer,29
9678,Joseph Howard,News & Content,2022-04-13,Employee Referral,Reporter,39
9679,Jose Crawford,News & Content,2020-05-31,Employee Referral,News Director,49
9680,William Harrison,Human Resources,2020-05-07,Indeed,HR Generalist,55
9681,Suzanne Wood,News & Content,2025-06-13,Employee Referral,Photojournalist,52
9682,Justin Walker,Sales,2023-06-30,Indeed,Sales Manager,12
9683,Dean Donovan,News & Content,2025-11-11,University Recruiting,Reporter,39
9684,Jen Hernandez,News & Content,2021-09-11,LinkedIn,Editor,23
9685,James Whitaker,News & Content,2024-02-27,LinkedIn,Photojournalist,46
9686,Mr. Michael Scott PhD,News & Content,2023-11-18,University Recruiting,News Director,48
9687,Maria Henry,Human Resources,2024-11-13,Employee Referral,HR Generalist,37
9688,Robert Jackson,Sales,2025-08-14,Indeed,Sales Manager,27
9689,Katherine Stark,Sales,2022-03-09,LinkedIn,Sales Coordinator,19
9690,Maria Brown,Sales,2018-10-20,LinkedIn,Sales Manager,24
9691,Ryan Landry,Engineering,2022-05-12,Employee Referral,Broadcast Engineer,24
9692,Pamela G. Gutierrez,Finance,2021-05-15,Recruiter Sourced,Financial Analyst,34
9693,Crystal Mann,Sales,2022-04-01,Employee Referral,Sales Manager,47
9694,Jonathan Brooks,News & Content,2019-12-05,Career Site,Producer,35
9695,Mary Jensen,Human Resources,2024-09-13,Indeed,HR Manager,18
9696,Mr. Aaron Arnold,Sales,2023-05-25,Career Site,Account Executive,17
9697,Joseph Hill,News & Content,2019-07-31,University Recruiting,Reporter,43
9698,Alicia Li,News & Content,2019-05-20,Career Site,Producer,59
9699,Renee Browning,Sales,2025-02-05,LinkedIn,Sales Manager,35
9700,Brent Hernandez,News & Content,2024-12-07,University Recruiting,News Director,25
9701,Joseph O. Ochoa,Finance,2021-03-02,Employee Referral,Finance Manager,21
9702,James Watson,Finance,2023-10-03,Indeed,Financial Analyst,42
9703,Karl Branch,News & Content,2024-11-24,Employee Referral,Reporter,54
9704,Michael Abbott,News & Content,2022-10-27,LinkedIn,News Director,30
9705,Shannon Malone,Engineering,2021-10-07,Career Site,Broadcast Engineer,27
9706,James Tran,News & Content,2021-11-13,Employee Referral,Photojournalist,15
9707,Adam Jackson,Finance,2023-07-12,University Recruiting,Financial Analyst,34
9708,Mr. Richard Knight PhD,News & Content,2022-12-11,Recruiter Sourced,Reporter,44
9709,Joseph Williams,Finance,2026-05-08,Indeed,Financial Analyst,24
9710,Sean Clay,Sales,2021-08-18,Career Site,Sales Coordinator,36
9711,Anthony Jones,News & Content,2021-04-14,Employee Referral,News Director,40
9712,Stephanie Elliott,Engineering,2025-01-26,Career Site,Systems Engineer,41
9713,Timothy Edwards,News & Content,2023-04-15,Employee Referral,Editor,20
9714,Laurie Goodwin,Sales,2024-10-31,LinkedIn,Account Executive,22
9715,Jennifer Jones,Engineering,2022-01-16,Employee Referral,Broadcast Engineer,35
9716,David Davenport,Human Resources,2024-11-09,LinkedIn,HR Generalist,43
9717,Steven Rivera,Sales,2022-12-01,LinkedIn,Account Executive,62
9718,Brenda Hinton,News & Content,2020-06-13,Indeed,News Director,19
9719,Kathryn Mccann,Sales,2023-11-11,Recruiter Sourced,Account Executive,37
9720,Jeffrey Roberson,Sales,2019-03-08,Recruiter Sourced,Sales Manager,33
9721,Randy Friedman,Sales,2026-01-02,Employee Referral,Account Executive,28
9722,Raymond Johnson,Engineering,2023-02-25,Recruiter Sourced,Broadcast Engineer,49
9723,Willie Henry,Human Resources,2022-06-14,Recruiter Sourced,HR Generalist,41
9724,Todd Reynolds,Sales,2023-04-19,LinkedIn,Sales Coordinator,41
9725,Mary Miller,News & Content,2022-04-06,Employee Referral,Producer,18
9726,Rebecca Marquez,Sales,2022-12-31,Career Site,Sales Manager,29
9727,Christian Dawson,Engineering,2025-02-18,LinkedIn,IT Support,34
9728,Nancy Stewart,News & Content,2019-12-20,Recruiter Sourced,Reporter,36
